Name,Rarity,Armor,Magic Armor,Base Stats,Attributes,Dropped By,Locations
Amber Necklace,1: Uncommon,,,"- Dexterity {2, 8}",- Resist Lightning 10%,- Global Loot,
Blessed Locket,1: Uncommon,,,"- Vitality {2, 8}",,- Global Loot,
Brass Chain,1: Uncommon,"{4, 23}",,"- Dexterity {2, 12}",,- Global Loot,
Bronze Pendant,1: Uncommon,"{4, 23}",,"- Might {2, 12}",,- Global Loot,
Copper Pendant,1: Uncommon,,"{4, 23}","- Intelligence {2, 12}",,- Global Loot,
Goblin Bone Necklace,1: Uncommon,,,"- Might {2, 8}
   - Dexterity {2, 8}",,- Global Loot,
Iron Choker,1: Uncommon,"{10, 68}",,,,- Global Loot,
Memory Locket,1: Uncommon,,,"- Intelligence {3, 15}",,- Global Loot,
Opal Necklace,1: Uncommon,,,"- Might {2, 8}",- Resist Fire 10%,- Global Loot,
Pearl Necklace,1: Uncommon,,,"- Intelligence {2, 8}",- Resist Cold 10%,- Global Loot,
Spiked Collar,1: Uncommon,,,,"- Return Damage Physical {2, 26}",- Global Loot,
Trainer's Pendant,1: Uncommon,,,,"- Summon Damage {3,15}%",- Global Loot,
Tungsten Choker,1: Uncommon,"{7, 45}","{7, 45}",,,- Global Loot,
Bear Charm,2: Rare,,,"- Might {2, 9}
   - Dexterity {2, 9}
   - Vitality {2, 9}",,"- Hod
   - Lagertha
   - Ragnar","- FrostwroughtMountain Night
   - FrostwroughtMountain Day"
Boar Charm,2: Rare,,,"- Might {2, 9}
   - Dexterity {2, 9}
   - Vitality {2, 9}",,- Global Loot,
Diamond Necklace,2: Rare,,,"- Vitality {2, 9}","- Resist Cold 5%
   - Resist Fire 5%
   - Resist Lightning 5%",- Crystal Golem,- ForgottenMines Day
Eagle Charm,2: Rare,,,"- Dexterity {3, 17}",- Skill Range 1,- Global Loot,
Forest Pendant,2: Rare,,,"- Dexterity {2, 9}
   - Vitality {2, 9}
   - Reflex {2, 9}",,"- The Risen Witch (Event)
   - The Witch
   - Twisted Soul of the Swamp","- SunkenSwamplands Day
   - SunkenSwamplands Night"
Fox Charm,2: Rare,,,"- Dexterity {2, 9}
   - Intelligence {2, 9}
   - Reflex {2, 9}",,- Global Loot,
Gold Necklace,2: Rare,"{2, 10}","{2, 10}","- Might {1, 4}
   - Dexterity {1, 4}
   - Vitality {1, 4}
   - Intelligence {1, 4}
   - Reflex {1, 4}",,- Global Loot,
Heart Pendant,2: Rare,,,"- Vitality {4, 25}",,"- Hodr, the Frost Giant","- FrostwroughtMountain Night
   - FrostwroughtMountain Day"
Hope Locket,2: Rare,"{2, 10}","{2, 10}","- Vitality {2, 9}
   - Intelligence {2, 9}",,- Valkyrie Commander,"- WaterTempleRuins Night
   - WaterTempleRuins Day
   - FrostwroughtMountain Night
   - FrostwroughtMountain Day"
Lion Charm,2: Rare,,,"- Might {2, 9}
   - Dexterity {2, 9}
   - Reflex {2, 9}",,- Global Loot,
Moonstone Necklace,2: Rare,,,"- Intelligence {2, 9}",- Mana Costs -8%,- Global Loot,
Oasis Amulet,2: Rare,,,"- Might {2, 9}
   - Vitality {2, 9}
   - Intelligence {2, 9}",,- The Sultan,"- WyrmrestDesert Night
   - WyrmrestDesert Day"
Prayer Beads,2: Rare,,,"- Intelligence {2, 9}","- Holy Power {3,15}%","- The Bishop
   - Priestess","- SunkenSwamplands Night
   - EmeraldJungle Day
   - CastleGloom Day
   - EmeraldJungle Night
   - SunkenSwamplands Day"
Silver Necklace,2: Rare,"{8, 49}","{8, 49}",,,- Global Loot,
Skeleton Necklace,2: Rare,,,"- Might {2, 9}","- Summon Damage {4,20}%",- The Bishop,"- SunkenSwamplands Night
   - SunkenSwamplands Day
   - CastleGloom Day"
Steel Chain,2: Rare,"{4, 25}","{4, 25}",,"- Return Damage Physical {2, 29}",- Global Loot,
Vial of Blood,2: Rare,,,"- Might {2, 9}",- % Life Steal 3,- The Countess,- CastleGloom Day
Warding Amulet,2: Rare,"{8, 49}","{8, 49}","- Vitality {2, 9}",,"- Ursa
   - Forest Giant","- FreewindForest Night
   - FreewindForest Day"
Wolf Charm,2: Rare,,,"- Vitality {2, 9}","- Damage to Physical {1, 14}","- Lucilla
   - Maximus
   - Proximo",
Wolf-Fang Necklace,2: Rare,,,"- Reflex {2, 9}","- Damage to Physical {1, 14}",- Global Loot,
Amulet of Alacrity,3: Legendary,,,"- Dexterity {2, 9}
   - Reflex {2, 9}",- Movement Points 2,- Global Loot,
Amulet of Vision,3: Legendary,,,"- Might {2, 9}
   - Dexterity {2, 9}","- Skill Range 2
   - Blind Immunity 1",- The Sun Queen,"- WyrmrestDesert Night
   - WyrmrestDesert Day"
