Name,Rarity,Armor,Magic Armor,Base Stats,Attributes,Dropped By,Locations
Leather Doublet,0: Common,"{6, 41}",,"- Might {1, 7}
   - Reflex {1, 7}",,- Global Loot,
Leather Jerkin,0: Common,"{2, 11}","{2, 11}","- Might {2, 14}",,- Global Loot,
Novice Gi,0: Common,"{3, 21}","{3, 21}",,"- Max Health {15, 102}",- Global Loot,
Primitive Rags,0: Common,"{6, 41}",,,,- Global Loot,
Simple Robe,0: Common,"{3, 21}","{3, 21}","- Intelligence {2, 14}",,- Global Loot,
Toga,0: Common,,"{6, 41}",,,- Global Loot,
Traveler's Coat,0: Common,"{6, 41}","{3, 21}","- Vitality {2, 14}",,- Global Loot,
Blood Mask Tunic,1: Uncommon,"{5, 34}","{5, 34}","- Might {2, 12}
   - Dexterity {2, 12}
   - Reflex {2, 8}",,- Global Loot,
Breastplate,1: Uncommon,"{14, 90}","{14, 90}","- Might {2, 8}","- Return Damage Physical {2, 26}",- Global Loot,
Canary Coat,1: Uncommon,"{5, 34}","{5, 34}","- Vitality {2, 12}
   - Intelligence {2, 12}
   - Reflex {2, 8}",,- Global Loot,
Canary Tunic,1: Uncommon,"{4, 23}","{4, 23}","- Dexterity {3, 15}
   - Intelligence {4, 23}",,- Global Loot,
Chain Mail,1: Uncommon,"{10, 68}","{17, 113}","- Might {2, 8}
   - Vitality {2, 8}",,- Global Loot,
Competitor's Garb,1: Uncommon,"{4, 23}","{4, 23}",,"- Max Health {17, 113}
   - Additional Weapon Damage {1, 13}",- Global Loot,
Enchanter's Robe,1: Uncommon,"{3, 18}","{4, 27}","- Might {3, 15}
   - Intelligence {4, 23}",,- Global Loot,
Fire Garb,1: Uncommon,"{4, 23}","{4, 23}",,"- Max Mana {17, 113}
   - Damage to Fire {1, 13}",- Global Loot,
Humble Garb,1: Uncommon,"{4, 23}","{4, 23}",,"- Max Mana {17, 113}
   - Healing Given {1, 13}",- Global Loot,
Ice Garb,1: Uncommon,"{4, 23}","{4, 23}",,"- Max Mana {17, 113}
   - Damage to Cold {1, 13}",- Global Loot,
Leather Armor,1: Uncommon,"{7, 45}","{4, 23}","- Dexterity {3, 15}
   - Vitality {2, 8}
   - Reflex {2, 8}",,- Global Loot,
