Name,Rarity,Armor,Magic Armor,Base Stats,Attributes,Dropped By,Locations
Simple Hood,0: Common,"{6, 41}","{3, 21}",,,- Global Loot,
Traveler's Hat,1: Uncommon,"{4, 23}","{7, 45}","- Vitality {2, 8}
   - Intelligence {2, 8}
   - Reflex {2, 8}",,- Global Loot,
Barbute,1: Uncommon,"{15, 101}","{14, 90}","- Might {2, 8}
   - Vitality {2, 8}",,- Global Loot,
Blood Mask,1: Uncommon,"{4, 23}","{4, 23}","- Dexterity {4, 23}
   - Reflex {2, 8}",,- Global Loot,
Canary Chapeau,1: Uncommon,"{5, 34}","{5, 34}","- Vitality {2, 8}
   - Intelligence {2, 8}
   - Reflex {3, 15}",,- Global Loot,
Canary Feathered Beret,1: Uncommon,"{4, 23}","{4, 23}","- Vitality {3, 15}
   - Intelligence {4, 23}",,- Global Loot,
Chain Coif,1: Uncommon,"{14, 90}","{15, 101}","- Might {3, 15}",,- Global Loot,
Chain Helm,1: Uncommon,"{10, 68}","{17, 113}","- Vitality {2, 8}
   - Reflex {2, 8}",,- Global Loot,
Enchanter's Hat,1: Uncommon,"{4, 23}","{4, 23}","- Might {3, 15}
   - Intelligence {4, 23}",,- Global Loot,
Leather Hood,0: Common,"{2, 11}","{2, 11}","- Vitality {1, 7}
   - Reflex {1, 7}",,- Global Loot,
Navy Chapeau,1: Uncommon,"{5, 34}","{5, 34}","- Might {2, 8}
   - Vitality {2, 8}
   - Intelligence {2, 8}
   - Reflex {2, 8}",,- Global Loot,
Navy Feathered Beret,1: Uncommon,"{4, 23}","{4, 23}","- Might {2, 8}
   - Vitality {3, 15}
   - Intelligence {3, 15}",,- Global Loot,
Olive Chapeau,1: Uncommon,"{5, 34}","{5, 34}","- Dexterity {3, 15}
   - Vitality {2, 8}
   - Reflex {2, 8}",,- Global Loot,
Olive Feathered Beret,1: Uncommon,"{4, 23}","{4, 23}","- Dexterity {4, 23}
   - Vitality {2, 8}
   - Intelligence {2, 8}",,- Global Loot,
Outlaw Mask,1: Uncommon,"{6, 40}","{5, 29}","- Might {2, 12}
   - Dexterity {2, 12}
   - Reflex {2, 8}",,- Global Loot,
Paladin's Helm,1: Uncommon,"{10, 68}","{10, 68}","- Might {2, 8}
   - Vitality {2, 8}
   - Intelligence {2, 8}",,- Paladin,"- ForgottenMines Day
   - DwarvenHalls Day
   - CastleGloom Day"
Sand Sultan Wrap,1: Uncommon,"{4, 23}","{4, 23}","- Dexterity {2, 8}
   - Vitality {3, 15}
   - Reflex {3, 15}",,- Global Loot,
Scarlet Chapeau,1: Uncommon,"{5, 34}","{5, 34}","- Might {3, 15}
   - Vitality {2, 8}
   - Reflex {2, 8}",,- Global Loot,
Scarlet Feathered Beret,1: Uncommon,"{4, 23}","{4, 23}","- Might {3, 15}
   - Vitality {2, 8}
   - Intelligence {3, 15}",,- Global Loot,
Thief's Hood,1: Uncommon,"{5, 34}","{5, 34}","- Dexterity {4, 23}
   - Reflex {2, 8}",,- Thief,"- EmeraldJungle Night
   - EmeraldJungle Day"
Violet Cap,1: Uncommon,"{5, 34}","{5, 34}","- Might {2, 12}
   - Dexterity {2, 12}
   - Reflex {2, 8}",,- Global Loot,
Violet Feathered Beret,1: Uncommon,"{4, 23}","{4, 23}","- Might {2, 12}
   - Dexterity {2, 12}
   - Intelligence {3, 15}",,- Global Loot,
Archer's Cap,2: Rare,"{4, 25}","{4, 25}","- Might {2, 9}
   - Dexterity {2, 9}
   - Vitality {2, 9}","- Skill Range 1
   - Damage to Physical {1, 14}",- Global Loot,
Assassin's Mask,2: Rare,"{4, 25}","{4, 25}","- Dexterity {4, 25}
   - Vitality {2, 9}
   - Reflex {2, 9}",- 10% chance to cast Hide in Shadows whenever an enemy dies.,- Assassin,"- WaterTempleRuins Night
   - WaterTempleRuins Day
   - FrostwroughtMountain Night
   - FrostwroughtMountain Day"
Assistant's Cap,2: Rare,"{3, 15}","{6, 35}","- Dexterity {6, 41}",,- Global Loot,
Crusader's Chain Hood,2: Rare,"{13, 86}","{17, 111}","- Might {2, 9}
   - Vitality {2, 9}",- Movement Points 1,- Crusader,"- SunkenSwamplands Day
   - WyrmrestDesert Night
   - WyrmrestDesert Day
   - SunkenSwamplands Night"
Cultist Hood,2: Rare,"{2, 13}","{6, 37}","- Might {2, 9}
   - Intelligence {2, 9}","- Summon Damage {2,10}%
   - Summon Health {2,10}%",- Global Loot,
Emerald Cross Cap,2: Rare,"{6, 37}","{6, 37}","- Dexterity {4, 25}
   - Reflex {2, 9}",,- Global Loot,
Emerald Cross Helm,2: Rare,"{15, 98}","{8, 49}","- Might {3, 17}
   - Vitality {3, 17}",,- Global Loot,
Enforcer Helm,2: Rare,"{15, 98}","{15, 98}","- Might {3, 17}
   - Vitality {2, 9}",,- Emperor Marcus,
Frog Helm,2: Rare,"{15, 98}","{15, 98}","- Dexterity {2, 9}
   - Vitality {3, 17}",,- The Black Knight,"- SunkenSwamplands Day
   - WyrmrestDesert Night
   - WyrmrestDesert Day
   - SunkenSwamplands Night"
Full Plate Helm,2: Rare,"{13, 86}","{13, 86}",,"- Resist Cold 5%
   - Resist Fire 5%
   - Resist Lightning 5%
   - Resist Physical 5%",- The Baron,- CastleGloom Day
Gentleman's Cap,2: Rare,"{8, 49}","{8, 49}","- Vitality {2, 9}
   - Reflex {3, 17}","- Dodge Counter Damage {6,30}%",- Global Loot,
Great Helm,2: Rare,"{17, 111}","{17, 111}","- Might {3, 17}
   - Vitality {2, 9}",,"- Anthulk
   - The Minotaur",- ForgottenMines Day
Magus Hat,2: Rare,"{3, 20}","{5, 30}","- Might {2, 9}
   - Dexterity {2, 9}
   - Intelligence {2, 9}","- Cold Damage {2,10}%
   - Fire Damage {2,10}%
   - Lightning Damage {2,10}%","- Crystal Golem
   - Dwarven Warmachine
   - Spellweaver Flamebearer
   - Spellweaver Frostbringer","- WaterTempleRuins Night
   - ForgottenMines Day
   - DwarvenHalls Day
   - WaterTempleRuins Day"
Pupil's Cap,2: Rare,"{3, 15}","{6, 35}","- Might {6, 41}",,- Unchained Efreet,"- WyrmrestDesert Night
   - WyrmrestDesert Day"
Ranger Hood,2: Rare,"{4, 25}","{4, 25}","- Might {3, 21}
   - Dexterity {3, 21}",- Skill Range 1,- Ranger,"- SunkenSwamplands Day
   - WyrmrestDesert Night
   - WyrmrestDesert Day
   - SunkenSwamplands Night"
Scholar's Hat,2: Rare,"{3, 15}","{6, 35}","- Intelligence {6, 41}",,"- Lady of the Well
   - The Scarecrow
   - The Sultan","- SunkenSwamplands Night
   - WyrmrestDesert Day
   - CastleGloom Day
   - WyrmrestDesert Night
   - SunkenSwamplands Day"
Smouldering Hat,2: Rare,"{5, 30}","{5, 30}","- Might {3, 17}
   - Intelligence {3, 17}","- Fire Damage {3,15}%",- The Ember King,- Emberlands Day
Stalker's Hood,2: Rare,"{5, 30}","{5, 30}","- Dexterity {5, 33}
   - Reflex {2, 9}",- 10% chance to cast Stealth on turn start.,- Blood Mask Boss,"- FreewindForest Night
   - FreewindForest Day"
Tlaloc Horns,2: Rare,"{4, 25}","{4, 25}","- Dexterity {4, 25}
   - Intelligence {2, 9}","- Lightning Damage {3,15}%","- Tlaloc the Storm
   - Tlaloc the Storm","- WaterTempleRuins Night
   - WaterTempleRuins Day
   - EmeraldJungle Night
   - EmeraldJungle Day"
Blackguard Casque,3: Legendary,"{14, 93}","{14, 93}","- Might {3, 18}
   - Vitality {2, 9}
   - Reflex {2, 9}",,- The Black Knight,"- SunkenSwamplands Day
   - WyrmrestDesert Night
   - WyrmrestDesert Day
   - SunkenSwamplands Night"
Bladed Helm,3: Legendary,"{12, 80}","{12, 80}","- Vitality {3, 18}","- Return Damage Physical {3, 31}","- The Gobfather
   - The Pale Goblin","- DwarvenHalls Day
   - WyrmrestDesert Night
   - WyrmrestDesert Day"
Dark Steel Helm,3: Legendary,"{14, 93}","{14, 93}","- Might {2, 9}","- Physical Damage {4,20}%",- The Dead One,"- SunkenSwamplands Night
   - SunkenSwamplands Day
   - CastleGloom Day"
Dwarven Helm,3: Legendary,"{16, 107}","{16, 107}","- Vitality {2, 9}","- Physical Damage {4,20}%","- Dwarven Shield
   - Dwarven Sword Maiden
   - Mountain King Ironheart",- DwarvenHalls Day
El Capitan,3: Legendary,"{8, 54}","{8, 54}","- Vitality {2, 9}
   - Reflex {3, 18}","- Dodge Counter Damage {8,40}%",- Global Loot,
Elemental Hood,3: Legendary,"{4, 27}","{4, 27}",,"- Max Mana {20, 133}
   - Damage to Cold {1, 12}
   - Damage to Fire {1, 12}
   - Damage to Lightning {1, 12}",- Global Loot,
Fire Hood,3: Legendary,"{4, 27}","{4, 27}",,"- Max Mana {20, 133}
   - Damage to Fire {1, 16}",- Global Loot,
Flame Hat,3: Legendary,"{4, 27}","{4, 27}","- Might {3, 18}
   - Vitality {2, 9}
   - Intelligence {2, 9}","- Fire Damage {4,20}%","- Lord Infernicus (Event)
   - The Forgemaster",- Emberlands Day
Frost Hat,3: Legendary,"{4, 27}","{4, 27}","- Might {2, 9}
   - Vitality {2, 9}
   - Intelligence {3, 18}","- Cold Damage {4,20}%",- The Dusk King,"- FrostwroughtMountain Night
   - FrostwroughtMountain Day"
Golden Bear Head,3: Legendary,"{12, 80}","{12, 80}","- Vitality {3, 18}","- Resist Physical 10%
   - Damage to Physical {1, 16}","- Hod
   - Lagertha
   - Ragnar","- FrostwroughtMountain Night
   - FrostwroughtMountain Day"
Ice Hood,3: Legendary,,,,"- Max Mana {20, 133}
   - Damage to Cold {1, 16}",- Global Loot,
