Name,Rarity,Armor,Magic Armor,Base Stats,Attributes,Dropped By,Locations
Amber Ring,1: Uncommon,,,"- Dexterity {2, 8}",- Resist Lightning 10%,- Global Loot,
Brass Loop,1: Uncommon,"{4, 23}",,"- Dexterity {2, 12}",,- Global Loot,
Bronze Ring,1: Uncommon,"{4, 23}",,"- Might {2, 12}",,- Global Loot,
Conduit Ring,1: Uncommon,,,,"- Lightning Damage {2,10}%",- Global Loot,
Copper Ring,1: Uncommon,,"{4, 23}","- Intelligence {2, 12}",,- Global Loot,
Friendship Band,1: Uncommon,,,"- Might {2, 8}
   - Vitality {2, 8}",,- Global Loot,
Goblin Bone Ring,1: Uncommon,,,"- Might {2, 8}
   - Vitality {2, 8}",,- Global Loot,
Iron Band,1: Uncommon,"{10, 68}",,,,- Global Loot,
Opal Ring,1: Uncommon,,,"- Might {2, 8}",- Resist Fire 10%,- Global Loot,
Pearl Ring,1: Uncommon,,,"- Intelligence {2, 8}",- Resist Cold 10%,- Global Loot,
Promise Ring,1: Uncommon,,,"- Might {2, 8}
   - Vitality {2, 8}",,"- Lady of the Well
   - The Scarecrow","- SunkenSwamplands Night
   - SunkenSwamplands Day
   - CastleGloom Day"
Spiked Ring,1: Uncommon,,,,"- Return Damage Physical {2, 26}",- Global Loot,
Trainer's Band,1: Uncommon,,,"- Intelligence {2, 8}","- Summon Health {3,15}%",- Global Loot,
Tungsten Ring,1: Uncommon,"{7, 45}","{7, 45}",,,- Global Loot,
Blighted Band,2: Rare,,,"- Might {2, 9}","- Shadow Damage {3,15}%",- Global Loot,
Bone Ring,2: Rare,,,"- Intelligence {2, 9}","- Summon Health {4,20}%",- The Bishop,"- SunkenSwamplands Night
   - SunkenSwamplands Day
   - CastleGloom Day"
Diamond Ring,2: Rare,,,"- Vitality {2, 9}","- Resist Cold 5%
   - Resist Fire 5%
   - Resist Lightning 5%",- Global Loot,
