Name,Rarity,Type,Attack Power,Damage Type,Base Stats,Attributes,Dropped By,Locations
Iron Breaker,2: Rare,Axe_2H,"{19.5, 129.5}",Physical,"- Might {3, 17}
   - Vitality {3, 17}",,- Global Loot,
Iron Greatsword,1: Uncommon,Sword_2H,"{17.5, 113.5}",Physical,"- Might {3, 15}
   - Vitality {3, 15}",,- Global Loot,
Iron Longsword,1: Uncommon,Sword_1H,"{7.5, 45.5}",Physical,"- Might {3, 15}
   - Vitality {3, 15}",,- Global Loot,
Iron Mace,1: Uncommon,Mace_1H,"{8.5, 50.5}",Physical,"- Vitality {3, 15}",,- Global Loot,
Iron Mallet,1: Uncommon,Mace_2H,"{19.5, 124.5}",Physical,"- Vitality {4, 23}",,- Global Loot,
Iron Sabre,1: Uncommon,Sword_1H,"{8.5, 52.5}",Physical,"- Dexterity {2, 8}
   - Vitality {2, 8}",,- Global Loot,
Iron Spear,2: Rare,Polearm,"{20.0, 135.5}",Physical,"- Might {3, 17}
   - Vitality {3, 17}",,- Global Loot,
Iron Sword,1: Uncommon,Sword_1H,"{8.5, 52.5}",Physical,"- Might {2, 8}
   - Vitality {2, 8}",,- Global Loot,
Silver-Edged Axe,2: Rare,Axe_1H,"{9.5, 62.5}",Physical,,,- Global Loot,
Copper Scepter,1: Uncommon,Wand,"{5.5, 30.5}",Lightning,"- Vitality {2, 8}
   - Intelligence {2, 8}",,- Global Loot,
Beatin' stick,0: Common,Mace_1H,"{6.5, 41.5}",Physical,,,- Global Loot,
Bent Rod,0: Common,Mace_1H,"{6.5, 35.5}",Physical,,,- Global Loot,
Boot Blade,0: Common,Sword_1H,"{7.5, 43.5}",Physical,"- Dexterity {2, 14}",,- Global Loot,
Broken Blade,0: Common,Sword_1H,"{6.5, 41.5}",Physical,,,- Global Loot,
Broken Sword,0: Common,Sword_1H,"{6.5, 41.5}",Physical,,,- Global Loot,
Fishing Spear,0: Common,Polearm,"{15.5, 102.5}",Physical,"- Reflex {1, 7}",,- Global Loot,
Fork,0: Common,Polearm,"{15.5, 102.5}",Physical,"- Dexterity {4, 28}",,- Global Loot,
Goblin Shortsword,0: Common,Sword_1H,"{6.5, 41.5}",Physical,"- Dexterity {2, 14}",,- Global Loot,
Kitchen Knife,0: Common,Sword_1H,"{6.5, 37.5}",Physical,"- Dexterity {2, 14}",,- Global Loot,
Musket,0: Common,Gun_2H,"{16.5, 107.5}",Physical,"- Might {2, 14}",,- Global Loot,
Peashooter,0: Common,Gun_1H,"{4.5, 28.5}",Physical,"- Dexterity {2, 14}",,- Global Loot,
Primitive Spear,0: Common,Polearm,"{13.5, 87.5}",Physical,"- Dexterity {3, 21}",,- Global Loot,
Sharpened Stick,0: Common,Polearm,"{14.5, 92.5}",Physical,"- Might {2, 9}",,- Global Loot,
Shortbow,0: Common,Bow,"{15.5, 98.5}",Physical,"- Might {2, 14}
   - Dexterity {1, 7}",,- Global Loot,
Shortsword,0: Common,Sword_1H,"{6.5, 41.5}",Physical,"- Might {1, 5}
   - Dexterity {1, 5}",,- Global Loot,
Spiked Axe,0: Common,Axe_1H,"{6.5, 41.5}",Physical,"- Reflex {1, 7}",,- Global Loot,
Spiked Club,0: Common,Mace_1H,"{7.5, 45.5}",Physical,"- Might {2, 9}",,- Global Loot,
Spiked Rolling Pin,0: Common,Mace_1H,"{6.5, 41.5}",Physical,"- Intelligence {2, 9}",,- Global Loot,
